GRUPOSERVICO_CODIGO;GRUPOSERVICO_DESCRICAO;SERVICO_CODIGO;SERVICO_DESCRICAO;LOGRADOURO;NUMERO;BAIRRO;RPA;DATA_DEMANDA;SITUACAO;DATA_ULT_SITUACAO;latitude;longitude
2;LIMPEZA URBANA;80;CAPINACAO EM VIA PAVIMENTADA;RUA  Desembargador Paulo Andre;53                  ;Curado;5;2025-01-23;PREPARACAO;2025-01-23;-8.079953331839;-34.971091334216
2;LIMPEZA URBANA;80;CAPINACAO EM VIA PAVIMENTADA;RUA  Missionario Joel Carlson;542                 ;Imbiribeira;6;2025-01-23;PREPARACAO;2025-01-23;-8.096152647873156;-34.910740142743
2;LIMPEZA URBANA;214;CAPINACAO EM VIA NAO PAVIMENTADA;RUA  Florentino Olimpio dos Santos;12                  ;Afogados;5;2025-01-23;PREPARACAO;2025-01-23;;
2;LIMPEZA URBANA;214;CAPINACAO EM VIA NAO PAVIMENTADA;RUA  Jandaia;27                  ;Afogados;5;2025-01-23;PREPARACAO;2025-01-23;;
2;LIMPEZA URBANA;214;CAPINACAO EM VIA NAO PAVIMENTADA;RUA  Joinvile;27                  ;Afogados;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;24;LUMINARIAS;AV   Professor Jose dos Anjos;0                   ;Casa Amarela;3;2025-01-22;PREPARACAO;2025-01-23;-8.027154004746574;-34.909194308889795
4;ILUMINACAO PUBLICA;24;LUMINARIAS;RUA  Abel de Sa Bezerra Cavalcanti;110                 ;Casa Amarela;3;2025-01-22;PREPARACAO;2025-01-23;-8.027150487056353;-34.90847302296005
4;ILUMINACAO PUBLICA;24;LUMINARIAS;RUA  Carlos Alberto Barbosa;600                 ;Arruda;2;2025-01-23;PREPARACAO;2025-01-23;-8.026363481443964;-34.888699403183786
4;ILUMINACAO PUBLICA;24;LUMINARIAS;RUA  Missionario Joel Carlson;542                 ;Imbiribeira;6;2025-01-23;CADASTRADA;2025-01-23;-8.096152647873156;-34.910740142743
4;ILUMINACAO PUBLICA;24;LUMINARIAS;RUA  PROJETADA                                              ;110                 ;Caxanga;4;2025-01-22;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;24;LUMINARIAS;RUA  PROJETADA                                              ;87                  ;Caxanga;4;2025-01-22;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;24;LUMINARIAS;RUA  Rodrigues Sete;0                   ;Casa Amarela;3;2025-01-22;PREPARACAO;2025-01-23;-8.0263945;-34.9076862
4;ILUMINACAO PUBLICA;47;APAGAR LAMPADA;RUA  Castro Alves;S/N                 ;Encruzilhada;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;47;APAGAR LAMPADA;RUA  Couto Magalhaes;500                 ;Rosarinho;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;47;APAGAR LAMPADA;RUA  Sao Bento;249                 ;Arruda;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;49;APAGAR CIRCUITO;RUA  Celcina Maia Pereira;102                 ;Campina do Barreto;2;2025-01-22;ATENDIDA;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;AV   Celso Furtado;0                   ;Pina;6;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;AV   Desembargador Jose Neves;0                   ;Boa Viagem;6;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;AV   Desembargador Jose Neves;440                 ;Boa Viagem;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;AV   Recife;00                  ;Jardim Sao Paulo;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;AV   Visconde de Sao Leopoldo;330                 ;Engenho do Meio;4;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;PRC  Phaelante da Camara;S/N                 ;Rosarinho;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;ROD  BR Cento e Um;00                  ;Barro;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;ROD  BR Cento e Um;00                  ;Dois Irmaos;3;2025-01-21;ATENDIDA;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;RUA  Itapiranga;534                 ;Iputinga;4;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;RUA  Palmares;33                  ;Areias;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;RUA  Professora Lourdes Dutra;201                 ;Agua Fria;2;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;RUA  Quinari;80                  ;Campina do Barreto;2;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;RUA  da Vitoria;120                 ;Afogados;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;51;ACENDER CIRCUITO;RUA  da Vitoria;SN                  ;Afogados;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Boa Viagem;0                   ;Boa Viagem;6;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Boa Viagem;6000                ;Boa Viagem;6;2025-01-22;EXECUCAO;2025-01-23;-8.141288294750597;-34.90411698818207
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Doutor Jose Rufino;1807                ;Barro;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Norte Miguel Arraes de Alencar;4861                ;Casa Amarela;3;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Norte Miguel Arraes de Alencar;5229                ;Casa Amarela;3;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Raimundo Diniz;0                   ;Ipsep;6;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Recife;00                  ;Jardim Sao Paulo;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Republica do Libano;280                 ;Pina;6;2025-01-22;EXECUCAO;2025-01-23;-8.088157298979693;-34.891654320204395
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;AV   Tapajos;293                 ;Areias;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;PRC  Tertuliano Feitosa;S/N                 ;Hipodromo;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;ROD  BR Cento e Um;00                  ;Barro;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Aderbal de Melo;0                   ;Ipsep;6;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Antonio Cardoso da Fonte;555                 ;Imbiribeira;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Bahia;2                   ;Jordao;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Bahia Formosa;02                  ;Ilha Joana Bezerra;1;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Barao de Cerro Largo;SN                  ;Varzea;4;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Barra de Sao Pedro;305                 ;San Martin;5;2025-01-23;EXECUCAO;2025-01-23;-8.0696939;-34.9263174
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Coronel Urbano Ribeiro de Sena;S/N                 ;Campina do Barreto;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Couto Soares;93                  ;Cajueiro;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Desembargador Dirceu Borges;83                  ;Jiquia;5;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Dois Irmaos;08                  ;Apipucos;3;2025-01-22;EXECUCAO;2025-01-23;-8.019807;-34.9401598
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Dona Aquilina;85                  ;Fundao;2;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Doutor Jose Maria;S/N                 ;Encruzilhada;2;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Dr Joao Costa;260                 ;Mustardinha;5;2025-01-22;EXECUCAO;2025-01-23;-8.0692115;-34.9227583
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Elesbao Veloso;99                  ;Ibura;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Ernesto Nazareth;10                  ;Areias;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Formosa;32                  ;Cordeiro;4;2025-01-22;EXECUCAO;2025-01-23;-8.0553895519525;-34.923075371630446
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Frei Cassimiro;784                 ;Santo Amaro;1;2025-01-23;EXECUCAO;2025-01-23;-8.0439801;-34.8836378
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  General Francisco Figueiroa;101                 ;Areias;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Guine;55                  ;Torroes;4;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Jose Reboucas;S/N                 ;Vasco da Gama;3;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Jurupatan;82                  ;Tejipio;5;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Muribeca;93                  ;Areias;5;2025-01-22;EXECUCAO;2025-01-23;-8.098305028165194;-34.938687823562056
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Naturalista Augusto Rusky;1005                ;Iputinga;4;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Nova Europa;1                   ;San Martin;5;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Pacifico da Luz;104                 ;Cordeiro;4;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Padre Bernardino Pessoa;429                 ;Boa Viagem;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Paraiso do Leste;55                  ;Alto do Mandu   Sitio Grande;3;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Pariconha;6                   ;Cordeiro;4;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Pedro Celso;34                  ;Campo Grande;2;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Pitiguaras;205                 ;Campo Grande;2;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Professor Jose Vicente;377                 ;Ipsep;6;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Professora Arcelina Camara;137                 ;Jordao;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Sao Miguel;00                  ;Afogados;5;2025-01-23;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Sao Miguel;00                  ;Afogados;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Sargento Basileu Nogueira;22                  ;Cohab   Ibura de Cima;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Sargento Basileu Nogueira;67                  ;Cohab   Ibura de Cima;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Soldado Sebastiao Felicio;96                  ;Cohab   Ibura de Cima;6;2025-01-22;EXECUCAO;2025-01-23;-8.125821316648485;-34.945698464900254
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Soldado Virgilio Lucio;67                  ;Cohab   Ibura de Cima;6;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  Visconde de Pelotas;00                  ;Afogados;5;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  da Paz;00                  ;Afogados;5;2025-01-23;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  da Unidade;42                  ;Santo Amaro;1;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;RUA  do Cinema;223                 ;Mangabeira;3;2025-01-23;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;TRV  Capitao Domingos da Costa;350                 ;Areias;5;2025-01-22;EXECUCAO;2025-01-23;;
4;ILUMINACAO PUBLICA;55;MANUTENCAO EM LAMPADA APAGADA;TRV  Padre Cicero;72                  ;Dois Unidos;2;2025-01-21;ATENDIDA;2025-01-23;;
4;ILUMINACAO PUBLICA;61;REPOSICAO DE LUMINARIA;RUA  Doutor Murilo Almeida;126                 ;Casa Amarela;3;2025-01-22;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;63;REPOSICAO DESL. E RET. DE POSTE;RUA  Fraiburgo;39                  ;Bongi;5;2025-01-22;PREPARACAO;2025-01-23;;
4;ILUMINACAO PUBLICA;63;REPOSICAO DESL. E RET. DE POSTE;RUA  Souza;207                 ;Jardim Sao Paulo;5;2025-01-22;PREPARACAO;2025-01-23;;
11;FISCALIZACAO URBANA;102;REGULARIZACAO DE VARRICAO DE VIA OU ESVAZIAR PAPELEIRA;AV   Sao Paulo;SN                  ;Jardim Sao Paulo;5;2025-01-23;PREPARACAO;2025-01-23;;
17;MANUT. URBANA;155;RECUPERACAO E MANUTENCAO DAS CALCADAS PUBLICAS DO RECIFE;RUA  General Goes Monteiro;542                 ;Imbiribeira;6;2025-01-23;CADASTRADA;2025-01-23;-8.097323825412;-34.910732746797
19;POSTE;45;IMPLANTACAO DE POSTE;RUA  Abadiania;1143                ;Alto Jose Bonifacio;3;2025-01-22;PREPARACAO;2025-01-23;;
19;POSTE;45;IMPLANTACAO DE POSTE;RUA  Imperatriz Tereza Cristina;S/N                 ;Boa Vista;1;2025-01-22;PREPARACAO;2025-01-23;;
19;POSTE;45;IMPLANTACAO DE POSTE;RUA  Vencedora;38                  ;Alto Santa Terezinha;2;2025-01-22;PREPARACAO;2025-01-23;;
27;DRENAGEM;8;LIMPEZA DE GALERIAS E VALETAS;AV   Fernando Simoes Barbosa;1270                ;Boa Viagem;6;2025-01-23;CADASTRADA;2025-01-23;-8.127321236028004;-34.90174463624401
27;DRENAGEM;41;REPOSICAO TAMPA DE POCO, GALERIAS,MEIO FIO E PRE-MOLDADOS;AV   Professor Jose dos Anjos;137                 ;Arruda;2;2025-01-23;CADASTRADA;2025-01-23;-8.0271346;-34.8881533
27;DRENAGEM;157;LIMPEZA DE CANALETA;AV   Professor Jose dos Anjos;137                 ;Arruda;2;2025-01-23;CADASTRADA;2025-01-23;-8.0271346;-34.8881533
27;DRENAGEM;189;RECUP.DE CANALETAS DE DRENAGEM;AV   Sport Clube do Recife;96                  ;Madalena;4;2025-01-23;CADASTRADA;2025-01-23;-8.06146732111242;-34.90248611054101
27;DRENAGEM;189;RECUP.DE CANALETAS DE DRENAGEM;RUA  Dr Joao Asfora;94                  ;Ilha do Leite;1;2025-01-23;CADASTRADA;2025-01-23;-8.063679532288;-34.896676533424
30;PAVIMENTACAO;131;OPERACAO TAPA-BURACO;RUA  Volta Grande;73                  ;San Martin;5;2025-01-23;CADASTRADA;2025-01-23;-8.073895169546;-34.928391482723
30;PAVIMENTACAO;139;RECAPEAMENTO ASFALTICO;RUA  Barao de Caruaru;206                 ;Linha do Tiro;2;2025-01-23;CADASTRADA;2025-01-23;;
30;PAVIMENTACAO;139;RECAPEAMENTO ASFALTICO;RUA  Barao de Caruaru;207                 ;Linha do Tiro;2;2025-01-23;CADASTRADA;2025-01-23;;
30;PAVIMENTACAO;139;RECAPEAMENTO ASFALTICO;RUA  Barao de Caruaru;230                 ;Linha do Tiro;2;2025-01-23;CADASTRADA;2025-01-23;;
31;DENUNCIAS;346;DENUNCIA DE ARBOVIROSES (DENGUE, CHIKUNGUNYA, ZIKA VIRUS);RUA  Quatro de Setembro;109                 ;Curado;5;2025-01-23;PREPARACAO;2025-01-23;-8.0804941;-34.9543716
